Time (ms),motor.iabc.a,motor.apiData.velocityReference,motor.idq.q
0.0,17,8000,255
0.001,25,8000,268
0.002,41,8000,266
0.003,-63,8000,232
0.004,-215,8000,256
0.005,-231,8000,267
0.006,-143,8000,191
0.007,-175,8000,179
0.008,-175,8000,182
0.009000000000000001,-175,8000,216
0.01,-207,8000,216
0.011,-239,8000,261
0.012,-79,8000,197
0.013000000000000001,25,8000,173
0.014,25,8000,148
0.015,9,8000,110
0.016,113,8000,139
0.017,113,8000,190
0.018000000000000002,137,8000,197
0.019,153,8000,200
0.02,209,8000,210
0.021,185,8000,198
0.022,193,8000,244
0.023,145,8000,159
0.024,145,8000,148
0.025,41,8000,108
0.026000000000000002,25,8000,220
0.027,57,8000,204
0.028,9,8000,150
0.029,-71,8000,163
0.03,-199,8000,199
0.031,-143,8000,145
0.032,-87,8000,118
0.033,-95,8000,105
0.034,-103,8000,111
0.035,-127,8000,161
0.036000000000000004,-111,8000,101
0.037,-167,8000,169
0.038,-55,8000,132
0.039,41,8000,140
0.04,9,8000,138
0.041,-47,8000,114
0.042,17,8000,79
0.043000000000000003,105,8000,152
0.044,145,8000,174
0.045,89,8000,169
0.046,129,8000,165
0.047,153,8000,153
0.048,81,8000,102
0.049,81,8000,91
0.05,89,8000,61
0.051000000000000004,137,8000,185
0.052000000000000005,25,8000,180
0.053,-31,8000,109
0.054,9,8000,128
0.055,1,8000,118
0.056,-103,8000,124
0.057,-183,8000,173
0.058,-63,8000,60
0.059000000000000004,-79,8000,79
0.06,-71,8000,74
0.061,-87,8000,100
0.062,-79,8000,101
0.063,-87,8000,68
0.064,-103,8000,52
0.065,-7,8000,36
0.066,33,8000,119
0.067,33,8000,85
0.068,-31,8000,101
0.069,1,8000,92
0.07,89,8000,82
0.07100000000000001,97,8000,131
0.07200000000000001,113,8000,133
0.073,137,8000,161
0.074,73,8000,79
0.075,105,8000,112
0.076,65,8000,82
0.077,89,8000,94
0.078,97,8000,82
0.079,25,8000,76
0.08,1,8000,146
0.081,25,8000,139
0.082,33,8000,90
0.083,9,8000,56
0.084,-87,8000,72
0.085,-95,8000,104
0.08600000000000001,-23,8000,38
0.08700000000000001,-23,8000,30
0.088,-31,8000,30
0.089,1,8000,7
0.09,-39,8000,63
0.091,-79,8000,79
0.092,-79,8000,38
0.093,-7,8000,28
0.094,41,8000,32
0.095,25,8000,44
0.096,-55,8000,77
0.097,-47,8000,60
0.098,33,8000,85
0.099,97,8000,84
0.1,89,8000,95
0.101,65,8000,83
0.10200000000000001,41,8000,54
0.10300000000000001,49,8000,53
0.10400000000000001,25,8000,34
0.105,81,8000,91
0.106,65,8000,58
0.107,57,8000,49
0.108,17,8000,112
0.109,17,8000,125
0.11,41,8000,64
0.111,65,8000,80
0.112,-7,8000,27
0.113,-71,8000,-17
0.114,-55,8000,23
0.115,-15,8000,15
0.116,-7,8000,4
0.117,17,8000,-19
0.11800000000000001,33,8000,-27
0.11900000000000001,25,8000,-7
0.12,-7,8000,-19
0.121,-79,8000,60
0.122,-31,8000,45
0.123,49,8000,29
0.124,57,8000,9
0.125,17,8000,-12
0.126,-31,8000,-12
0.127,-23,8000,24
0.128,33,8000,24
